date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:32	35815/35815	U--MC-	200	updated ('OK')	application/json	date:Wed,%2016%20Sep%202020%2007:14:31%20GMT	https://sparkden.com/wp-json/wp/v2/pages/174	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/wp/v2/pages/174.json	(from https://sparkden.com/contact/)
21:14:59	56392/56392	U-----	200	untouched ('')	application/x-font-ttf	etag:%22dc48-5ad25fde6b819%22	https://sparkden.com/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-includes/fonts/dashicons7d4b.ttf	(from https://sparkden.com/wp-includes/css/dashicons.min.css?ver=5.5.1)
21:14:59	4913/4913	U-----	200	untouched ('')	image/png	etag:%221331-5a71d6c9340b8%22	https://sparkden.com/wp-content/uploads/2020/06/Artboard-2.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/Artboard-2.png	(from https://sparkden.com/wp-content/et-cache/230300/et-core-unified-tb-229651-tb-229677-230300-15990402858497.min.css)
21:15:02	56564/56564	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:%22dcf4-5ad25fde6b431-gzip%22	https://sparkden.com/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-includes/fonts/dashicons7d4b.eot	(from https://sparkden.com/wp-includes/css/dashicons.min.css?ver=5.5.1)
21:15:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2007:14:34%20GMT	https://sparkden.com/?p=174	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/index0325.html	(from https://sparkden.com/contact/)
21:15:34	31796/31796	U-----	200	untouched ('OK')	text/css	etag:%227c34-5ae3a5b5d0f55-gzip%22	https://sparkden.com/wp-content/et-cache/174/et-core-unified-tb-230239-tb-229677-174-1598940546807.min.css	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/et-cache/174/et-core-unified-tb-230239-tb-229677-174-1598940546807.min.css	(from https://sparkden.com/contact/)
21:15:37	40839/40839	U--MC-	200	updated ('OK')	application/json	date:Wed,%2016%20Sep%202020%2007:15:37%20GMT	https://sparkden.com/wp-json/wp/v2/pages/134	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/wp/v2/pages/134.json	(from https://sparkden.com/about/)
21:15:51	321/321	U-----	200	untouched ('OK')	text/css	etag:%22141-5ae3a5b544137-gzip%22	https://sparkden.com/wp-content/et-cache/174/et-core-unified-174-1598940546807.min.css	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/et-cache/174/et-core-unified-174-1598940546807.min.css	(from https://sparkden.com/contact/)
21:15:59	2221/2221	U--MC-	200	updated ('OK')	text/xml	date:Wed,%2016%20Sep%202020%2007:15:01%20GMT	https://sparkden.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsparkden.com%2Fcontact%2F&format=xml	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/oembed/1.0/embed515c	(from https://sparkden.com/contact/)
21:16:01	2143/2143	U--MC-	200	updated ('OK')	application/json	date:Wed,%2016%20Sep%202020%2007:15:01%20GMT	https://sparkden.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsparkden.com%2Fcontact%2F	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/oembed/1.0/embed6b37.json	(from https://sparkden.com/contact/)
21:16:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2007:15:39%20GMT	https://sparkden.com/?p=134	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/index47f2.html	(from https://sparkden.com/about/)
21:16:34	34853/34853	U-----	200	untouched ('OK')	text/css	etag:%228825-5ae341d184c23-gzip%22	https://sparkden.com/wp-content/et-cache/134/et-core-unified-tb-230192-tb-229677-134-15989137324777.min.css	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/et-cache/134/et-core-unified-tb-230192-tb-229677-134-15989137324777.min.css	(from https://sparkden.com/about/)
21:16:54	2133/2133	U--MC-	200	updated ('OK')	application/json	date:Wed,%2016%20Sep%202020%2007:15:54%20GMT	https://sparkden.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsparkden.com%2Fabout%2F	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/oembed/1.0/embeda51f.json	(from https://sparkden.com/about/)
21:16:56	321/321	U-----	200	untouched ('OK')	text/css	etag:%22141-5ae341d100aa9-gzip%22	https://sparkden.com/wp-content/et-cache/134/et-core-unified-134-15989137324777.min.css	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/et-cache/134/et-core-unified-134-15989137324777.min.css	(from https://sparkden.com/about/)
21:16:59	2211/2211	U--MC-	200	updated ('OK')	text/xml	date:Wed,%2016%20Sep%202020%2007:16:01%20GMT	https://sparkden.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsparkden.com%2Fabout%2F&format=xml	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-json/oembed/1.0/embedcd90	(from https://sparkden.com/about/)
21:17:04	30773/30773	U-----	200	untouched ('')	image/png	etag:%227835-5a7a185919cde%22	https://sparkden.com/wp-content/uploads/2020/06/undraw_work_together_h63l.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/undraw_work_together_h63l.png	(from https://sparkden.com/about/)
